tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	bed_dip	bed_dip_direction	citations	composite_depth	conglomerate_test	contact_test	core_depth	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	elevation	external_database_ids	geographic_precision	geologic_classes	geologic_types	height	instrument_codes	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	magn_mass	magn_volume	method_codes	paleolat	paleolon	result_quality	result_type	samples	scientists	site	site_alternatives	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
								10.1016/0031-9201(89)90032-0																						Archeologic	Pottery								33.19	Not Specified	Arizona	248.08			LP-PI							585														
100			100	Years AD (+/-)				10.1016/0031-9201(89)90032-0						geomagia50 record. GEOMAGIA50:585, geomagia50 v 2. 0 record.														ARCHEOINTB [ 585]: GEOMAGIA50[ ArcheoIntNB2825 ]:CALS7K.2 [none ]						0.0000339			1	1	33.19		Arizona	248.08			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			585				6.36E+22				1						
								10.1016/0031-9201(89)90032-0																						Archeologic	Pottery								33.19	Not Specified	Arizona	248.08			LP-PI							597														
625			75	Years AD (+/-)				10.1016/0031-9201(89)90032-0						geomagia50 record. GEOMAGIA50:597, geomagia50 v 2. 0 record.														ARCHEOINTB [ 597]: GEOMAGIA50[ ArcheoIntNB2809 ]:CALS7K.2 [none ]						0.000043	0.00000129	3	3	3	33.19		Arizona	248.08			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			597				8.07E+22		2.4E+21		3						
								10.1016/0031-9201(89)90032-0																						Archeologic	Pottery								33.19	Not Specified	Arizona	248.08			LP-PI							598														
625			75	Years AD (+/-)				10.1016/0031-9201(89)90032-0						geomagia50 record. GEOMAGIA50:598, geomagia50 v 2. 0 record.														ARCHEOINTB [ 598]: GEOMAGIA50[ ArcheoIntNB2819 ]:CALS7K.2 [none ]						0.000044	0.00000718	16.3	3	3	33.19		Arizona	248.08			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			598				8.26E+22		1.35E+22		3						
								10.1016/0031-9201(89)90032-0																						Archeologic	Pottery								33.19	Not Specified	Arizona	248.08			LP-PI							600														
750			100	Years AD (+/-)				10.1016/0031-9201(89)90032-0						geomagia50 record. GEOMAGIA50:600, geomagia50 v 2. 0 record.														ARCHEOINTB [ 600]: GEOMAGIA50[ ArcheoIntNB2820 ]:CALS7K.2 [none ]						0.0000456	0.00000378	8.3	3	3	33.19		Arizona	248.08			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			600				8.56E+22		7.1E+21		3						
								10.1016/0031-9201(89)90032-0																						Archeologic	Pottery								33.19	Not Specified	Arizona	248.08			LP-PI							601														
800			100	Years AD (+/-)				10.1016/0031-9201(89)90032-0						geomagia50 record. GEOMAGIA50:601, geomagia50 v 2. 0 record.														ARCHEOINTB [ 601]: GEOMAGIA50[ ArcheoIntNB2808 ]:CALS7K.2 [none ]						0.0000465	0.00000291	6.3	3	3	33.19		Arizona	248.08			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			601				8.73E+22		5.5E+21		3						
								10.1016/0031-9201(89)90032-0																						Archeologic	Pottery								33.19	Not Specified	Arizona	248.08			LP-PI							605														
1000			100	Years AD (+/-)				10.1016/0031-9201(89)90032-0						geomagia50 record. GEOMAGIA50:605, geomagia50 v 2. 0 record.														ARCHEOINTB [ 605]: GEOMAGIA50[ ArcheoIntNB2806 ]:CALS7K.2 [none ]						0.0000621	0.00000314	5.1	6	6	33.19		Arizona	248.08			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			605				1.165E+23		5.9E+21		6						
								10.1016/0031-9201(89)90032-0																						Archeologic	Pottery								32.06	Not Specified	Arizona	249.01			LP-PI							609														
1175			75	Years AD (+/-)				10.1016/0031-9201(89)90032-0						geomagia50 record. GEOMAGIA50:609, geomagia50 v 2. 0 record.														ARCHEOINTB [ 609]: GEOMAGIA50[ ArcheoIntNB2804 ]:CALS7K.2 [none ]						0.0000538	0.00000113	2.1	2	2	32.06		Arizona	249.01			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			609				1.024E+23		2.2E+21		2						
								10.1016/0031-9201(89)90032-0																						Archeologic	Pottery								35.83	Not Specified	Arizona	249.6			LP-PI							618														
1750			50	Years AD (+/-)				10.1016/0031-9201(89)90032-0						geomagia50 record. GEOMAGIA50:618, geomagia50 v 2. 0 record.														ARCHEOINTB [ 618]: GEOMAGIA50[ ArcheoIntNB2830 ]:CALS7K.2 [none ]						0.0000488			1	1	35.83		Arizona	249.6			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			618				8.86E+22				1						
								10.1016/0031-9201(89)90032-0																						Archeologic	Pottery								32.6	Not Specified	Arizona	247.96			LP-PI							626														
1892			10	Years AD (+/-)				10.1016/0031-9201(89)90032-0						geomagia50 record. GEOMAGIA50:626, geomagia50 v 2. 0 record.														ARCHEOINTB [ 626]: GEOMAGIA50[ ArcheoIntNB2829 ]:CALS7K.2 [none ]						0.0000573	0.00000071	1.2	2	2	32.6		Arizona	247.96			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			626				1.083E+23		1.3E+21		2						
								10.1016/0031-9201(89)90032-0																						Archeologic	Pottery								35.83	Not Specified	Arizona	249.6			LP-PI							630														
1893			8	Years AD (+/-)				10.1016/0031-9201(89)90032-0						geomagia50 record. GEOMAGIA50:630, geomagia50 v 2. 0 record.														ARCHEOINTB [ 630]: GEOMAGIA50[ ArcheoIntNB2839 ]:CALS7K.2 [none ]						0.000088	0.00002828	32.1	2	2	35.83		Arizona	249.6			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			630				1.598E+23		5.14E+22		2						
								10.1029/1999JB900448															p	n						Extrusive:Igneous	Lava Flow								42.05	Basalt	northeastern China	128			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM			g				Lava1														
210			4	Ka				10.1029/1999JB900448						Lava1	5.1		-3.2	58.4	34.7				p	n	0.995	100		PINT[2586]		Extrusive:Igneous	Lava Flow			5.41e-05	6e-07			7	42.05	Basalt	northeastern China	128			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-KAR				i			Lava1							9.58e+22	7	1e+21			86.2	348.6	
								10.1029/1999JB900448															p	n						Extrusive:Igneous	Lava Flow								42.05	Basalt	northeastern China	128			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM			g				Lava2														
123			7	Ka				10.1029/1999JB900448						Lava2	3.1		-9.4	59.3	106.5				p	n	0.975285714285714	100		PINT[2587]		Extrusive:Igneous	Lava Flow			5.19e-05	9e-07			7	42.05	Basalt	northeastern China	128			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-KAR				i			Lava2							9.1e+22	7	2e+21			82.7	25.7	
								10.1029/1999JB900448															p	t						Extrusive:Igneous	Lava Flow								42.05	Basalt	northeastern China	128			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM			g				Lava3														
123			10	Ka				10.1029/1999JB900448						Lava3	3.2		78.9	86.3	111.6				p	n	0.994142857142857	100		PINT[2588]		Extrusive:Igneous	Lava Flow			2.53e-05	4e-07			7	42.05	Basalt	northeastern China	128			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-KAR				i			Lava3							3.4e+22	7	5e+20			43	137.9	
								10.1016/S0031-9201(00)00148-5																						Archeologic	Brick								43.33	Not Specified	France	1.36			LP-PI							76														
-15			65	Years AD (+/-)				10.1016/S0031-9201(00)00148-5						geomagia50 record. GEOMAGIA:76, geomagia50 record.																				0.0000602	0.000004	6.6	8	8	43.33		France	1.36			DA-AC:DA-CR:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			76				1.002E+23		6.7E+21		8						
								10.1016/S0031-9201(00)00148-5																						Archeologic	Brick								43	Not Specified	France	3			LP-PI							85														
215			20	Years AD (+/-)				10.1016/S0031-9201(00)00148-5						geomagia50 record. GEOMAGIA:85, geomagia50 record.																				0.0000645	0.0000048	7.4	10	10	43		France	3			DA-AC:DA-CR:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			85				1.078E+23		8E+21		10						
0.4			0.4	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1029/93JB03365						97; Ti-rich+Ti-poor TiMa. Tc appr. 300��C. 560��C. :. 97; EMU, VDM recalculated by MagIC team. VADM calculated using present site lat.	2		8	65		30			p	n		100				Extrusive:Igneous	Lava Flow			0.0000395	0.0000029	7.3	7	7	50.15	Basalt	Eifel volcanics	6.8			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM	50.15		g	a			EMU				6.128E+22	7	4.499E+21	6.317E+22	7	4.638E+21	3	2.8	83.8	124.5	
0.4			0.4	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1029/93JB03365						97; Ti-rich+Ti-poor TiMa. Tc appr. 300��C. 560��C. :. 97; GO, VDM recalculated by MagIC team. VADM calculated using present site lat.	4		16	62		9			p	n		100				Extrusive:Igneous	Lava Flow			0.0000111	0.0000007	6.3	5	5	50.21	Basalt	Eifel volcanics	6.77			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM	50.21		g	a			GO				1.721E+22	5	1.085E+21	1.846E+22	5	1.164E+21	5.5	5.5	77	123.2	
0.4			0.4	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1029/93JB03365						97; Ti-rich+Ti-poor TiMa. Tc appr. 300��C. 560��C. :. 97; HA, VDM recalculated by MagIC team. VADM calculated using present site lat.	5		22	63		11			p	n		100				Extrusive:Igneous	Lava Flow			0.0000284	0.0000037	13	5	5	50.24	Basalt	Eifel volcanics	6.67			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM	50.24		g	a			HA				4.402E+22	5	5.735E+21	4.663E+22	5	6.074E+21	7	6.9	74.1	109.5	
0.4			0.4	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1029/93JB03365						97; Ti-poor TiMa. Tc appr. 560��C. :.	8		123	78		6			p	t						Extrusive:Igneous	Lava Flow			0.0000071	0.0000013	18.3	6		50.28	Basalt	Eifel volcanics	6.69			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM			g				KH1														
0.4			0.4	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1029/93JB03365						97; KH1, VDM recalculated by MagIC team. VADM calculated using present site lat.	8		123	78					p	n		100				Extrusive:Igneous	Lava Flow			0.0000071	0.0000013	18.3		6	50.28	Basalt	Eifel volcanics	6.69			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM	50.28			a			KH1				1.1E+22	6	2.014E+21	9.739E+21	6	1.783E+21	24.6	11.1	34.9	30.3	
0.55			0.4	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1029/93JB03365						97; Ti-rich+Ti-poor TiMa. Tc appr. 300��C. 560��C. :. 97; SK, VDM recalculated by MagIC team. VADM calculated using present site lat.	4		47	75		10			p	n		100				Extrusive:Igneous	Lava Flow			0.0000413	0.0000027	6.5	5	5	50.28	Basalt	Eifel volcanics	6.55			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM	50.28		g	a			SK				6.399E+22	5	4.184E+21	5.841E+22	5	3.819E+21	9.9	5.5	62.1	54.1	
0.55			0.4	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1029/93JB03365						97; Ti-poor TiMa. Tc appr. 580��C. :. 97; SMA, VDM recalculated by MagIC team. VADM calculated using present site lat.	5		0	57		8			p	n		100				Extrusive:Igneous	Lava Flow			0.0000493	0.0000079	16	7	7	50.1	Basalt	Eifel volcanics	6.93			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM	50.1		g	a			SMA				7.652E+22	7	1.226E+22	8.747E+22	7	1.402E+22	5.9	6.9	77.5	186.9	
0.51			0.03	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1029/93JB03365						97; Ti-rich+Ti-poor TiMa. Tc appr. 300��C. 560��C. :. 97; U, VDM recalculated by MagIC team. VADM calculated using present site lat.	3		340	67		15			p	n		100				Extrusive:Igneous	Lava Flow			0.0000304	0.0000026	8.6	6	6	50.15	unknown	Eifel volcanics	6.81			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM	50.15		g	a			U				4.716E+22	6	4.033E+21	4.737E+22	6	4.052E+21	4.9	4.2	77.1	282.4	
0.4			0.4	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1029/93JB03365						97; Ti-rich+Ti-poor TiMa. Tc appr. 300��C. 560��C. :. 97; WA, VDM recalculated by MagIC team. VADM calculated using present site lat.	1		358	64		53			p	n		100				Extrusive:Igneous	Lava Flow			0.0000471	0.000006	12.7	11	11	50.1	Basalt	Eifel volcanics	6.93			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM	50.1		g	a			WA				7.31E+22	11	9.312E+21	7.632E+22	11	9.722E+21	1.5	1.4	85.4	204.7	
								10.1016/0012-821X(75)90043-6																						Igneous:Archeologic	Lava Flow								37.7	Not Specified	Italy	15			LP-PI							1402														
1536			5	Years AD (+/-)				10.1016/0012-821X(75)90043-6						geomagia50 record. GEOMAGIA50:1402, geomagia50 v 2. 0 record.														ARCHEOINTB [ 1402]: GEOMAGIA50[ ArcheoIntNB2884 ]: PINT [ none ]:CALS7K.2 [none ]						0.0000485	0.0000097	20	4	4	37.7		Italy	15			LP-PI-TRM			g	i			1402				8.61E+22		1.72E+22		4						
								10.1016/0012-821X(75)90043-6																						Igneous:Archeologic	Lava Flow								37.7	Not Specified	Italy	15			LP-PI							1403														
1610			5	Years AD (+/-)				10.1016/0012-821X(75)90043-6						geomagia50 record. GEOMAGIA50:1403, geomagia50 v 2. 0 record.														ARCHEOINTB [ 1403]: GEOMAGIA50[ ArcheoIntNB2883 ]: PINT [ none ]:CALS7K.2 [none ]						0.0000405	0.0000081	20	4	4	37.7		Italy	15			LP-PI-TRM			g	i			1403				7.19E+22		1.44E+22		4						
